SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,TOTAL_OPERATE_INCOME,TOTAL_OPERATE_INCOME_YOY,OPERATE_INCOME,OPERATE_INCOME_YOY,INTEREST_INCOME,INTEREST_INCOME_YOY,EARNED_PREMIUM,EARNED_PREMIUM_YOY,FEE_COMMISSION_INCOME,FEE_COMMISSION_INCOME_YOY,OTHER_BUSINESS_INCOME,OTHER_BUSINESS_INCOME_YOY,TOI_OTHER,TOI_OTHER_YOY,TOTAL_OPERATE_COST,TOTAL_OPERATE_COST_YOY,OPERATE_COST,OPERATE_COST_YOY,INTEREST_EXPENSE,INTEREST_EXPENSE_YOY,FEE_COMMISSION_EXPENSE,FEE_COMMISSION_EXPENSE_YOY,RESEARCH_EXPENSE,RESEARCH_EXPENSE_YOY,SURRENDER_VALUE,SURRENDER_VALUE_YOY,NET_COMPENSATE_EXPENSE,NET_COMPENSATE_EXPENSE_YOY,NET_CONTRACT_RESERVE,NET_CONTRACT_RESERVE_YOY,POLICY_BONUS_EXPENSE,POLICY_BONUS_EXPENSE_YOY,REINSURE_EXPENSE,REINSURE_EXPENSE_YOY,OTHER_BUSINESS_COST,OTHER_BUSINESS_COST_YOY,OPERATE_TAX_ADD,OPERATE_TAX_ADD_YOY,SALE_EXPENSE,SALE_EXPENSE_YOY,MANAGE_EXPENSE,MANAGE_EXPENSE_YOY,ME_RESEARCH_EXPENSE,ME_RESEARCH_EXPENSE_YOY,FINANCE_EXPENSE,FINANCE_EXPENSE_YOY,FE_INTEREST_EXPENSE,FE_INTEREST_EXPENSE_YOY,FE_INTEREST_INCOME,FE_INTEREST_INCOME_YOY,ASSET_IMPAIRMENT_LOSS,ASSET_IMPAIRMENT_LOSS_YOY,CREDIT_IMPAIRMENT_LOSS,CREDIT_IMPAIRMENT_LOSS_YOY,TOC_OTHER,TOC_OTHER_YOY,FAIRVALUE_CHANGE_INCOME,FAIRVALUE_CHANGE_INCOME_YOY,INVEST_INCOME,INVEST_INCOME_YOY,INVEST_JOINT_INCOME,INVEST_JOINT_INCOME_YOY,NET_EXPOSURE_INCOME,NET_EXPOSURE_INCOME_YOY,EXCHANGE_INCOME,EXCHANGE_INCOME_YOY,ASSET_DISPOSAL_INCOME,ASSET_DISPOSAL_INCOME_YOY,ASSET_IMPAIRMENT_INCOME,ASSET_IMPAIRMENT_INCOME_YOY,CREDIT_IMPAIRMENT_INCOME,CREDIT_IMPAIRMENT_INCOME_YOY,OTHER_INCOME,OTHER_INCOME_YOY,OPERATE_PROFIT_OTHER,OPERATE_PROFIT_OTHER_YOY,OPERATE_PROFIT_BALANCE,OPERATE_PROFIT_BALANCE_YOY,OPERATE_PROFIT,OPERATE_PROFIT_YOY,NONBUSINESS_INCOME,NONBUSINESS_INCOME_YOY,NONCURRENT_DISPOSAL_INCOME,NONCURRENT_DISPOSAL_INCOME_YOY,NONBUSINESS_EXPENSE,NONBUSINESS_EXPENSE_YOY,NONCURRENT_DISPOSAL_LOSS,NONCURRENT_DISPOSAL_LOSS_YOY,EFFECT_TP_OTHER,EFFECT_TP_OTHER_YOY,TOTAL_PROFIT_BALANCE,TOTAL_PROFIT_BALANCE_YOY,TOTAL_PROFIT,TOTAL_PROFIT_YOY,INCOME_TAX,INCOME_TAX_YOY,EFFECT_NETPROFIT_OTHER,EFFECT_NETPROFIT_OTHER_YOY,EFFECT_NETPROFIT_BALANCE,EFFECT_NETPROFIT_BALANCE_YOY,UNCONFIRM_INVEST_LOSS,UNCONFIRM_INVEST_LOSS_YOY,NETPROFIT,NETPROFIT_YOY,PRECOMBINE_PROFIT,PRECOMBINE_PROFIT_YOY,CONTINUED_NETPROFIT,CONTINUED_NETPROFIT_YOY,DISCONTINUED_NETPROFIT,DISCONTINUED_NETPROFIT_YOY,PARENT_NETPROFIT,PARENT_NETPROFIT_YOY,MINORITY_INTEREST,MINORITY_INTEREST_YOY,DEDUCT_PARENT_NETPROFIT,DEDUCT_PARENT_NETPROFIT_YOY,NETPROFIT_OTHER,NETPROFIT_OTHER_YOY,NETPROFIT_BALANCE,NETPROFIT_BALANCE_YOY,BASIC_EPS,BASIC_EPS_YOY,DILUTED_EPS,DILUTED_EPS_YOY,OTHER_COMPRE_INCOME,OTHER_COMPRE_INCOME_YOY,PARENT_OCI,PARENT_OCI_YOY,MINORITY_OCI,MINORITY_OCI_YOY,PARENT_OCI_OTHER,PARENT_OCI_OTHER_YOY,PARENT_OCI_BALANCE,PARENT_OCI_BALANCE_YOY,UNABLE_OCI,UNABLE_OCI_YOY,CREDITRISK_FAIRVALUE_CHANGE,CREDITRISK_FAIRVALUE_CHANGE_YOY,OTHERRIGHT_FAIRVALUE_CHANGE,OTHERRIGHT_FAIRVALUE_CHANGE_YOY,SETUP_PROFIT_CHANGE,SETUP_PROFIT_CHANGE_YOY,RIGHTLAW_UNABLE_OCI,RIGHTLAW_UNABLE_OCI_YOY,UNABLE_OCI_OTHER,UNABLE_OCI_OTHER_YOY,UNABLE_OCI_BALANCE,UNABLE_OCI_BALANCE_YOY,ABLE_OCI,ABLE_OCI_YOY,RIGHTLAW_ABLE_OCI,RIGHTLAW_ABLE_OCI_YOY,AFA_FAIRVALUE_CHANGE,AFA_FAIRVALUE_CHANGE_YOY,HMI_AFA,HMI_AFA_YOY,CASHFLOW_HEDGE_VALID,CASHFLOW_HEDGE_VALID_YOY,CREDITOR_FAIRVALUE_CHANGE,CREDITOR_FAIRVALUE_CHANGE_YOY,CREDITOR_IMPAIRMENT_RESERVE,CREDITOR_IMPAIRMENT_RESERVE_YOY,FINANCE_OCI_AMT,FINANCE_OCI_AMT_YOY,CONVERT_DIFF,CONVERT_DIFF_YOY,ABLE_OCI_OTHER,ABLE_OCI_OTHER_YOY,ABLE_OCI_BALANCE,ABLE_OCI_BALANCE_YOY,OCI_OTHER,OCI_OTHER_YOY,OCI_BALANCE,OCI_BALANCE_YOY,TOTAL_COMPRE_INCOME,TOTAL_COMPRE_INCOME_YOY,PARENT_TCI,PARENT_TCI_YOY,MINORITY_TCI,MINORITY_TCI_YOY,PRECOMBINE_TCI,PRECOMBINE_TCI_YOY,EFFECT_TCI_BALANCE,EFFECT_TCI_BALANCE_YOY,TCI_OTHER,TCI_OTHER_YOY,TCI_BALANCE,TCI_BALANCE_YOY,ACF_END_INCOME,ACF_END_INCOME_YOY,OPINION_TYPE
900947.SH,900947,振华B股,10004076,通用,1995-12-31 00:00:00,年报,1995年报,58001002,1997-08-01 00:00:00,1997-08-01 00:00:00,CNY,464909720.0,70.7118469826,464909720.0,70.7118469826,,,,,,,,,,,417141305.0,70.1571049672,340027437.0,65.8184689518,,,,,,,,,0.0,,0.0,,,,,,,,,,664104.0,-78.2481426201,27208779.0,183.3406939961,,,49240985.0,79.4843732891,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,596063.0,90.1062696545,48364478.0,75.8784846017,894439.0,213.3994863332,,,772620.0,265.0598652441,,,,,1438411.0,,49924708.0,81.0666401669,3803120.0,,,,0.0,,,,46121588.0,67.2735067038,,,,,,,46121588.0,67.2735067038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900947.SH,900947,振华B股,10004076,通用,1996-12-31 00:00:00,年报,1996年报,58001002,1997-08-01 00:00:00,1997-08-01 00:00:00,CNY,674487223.0,45.0791829003,674487223.0,45.0791829003,,,,,,,,,,,585113920.0,40.2675575366,484549347.0,42.5030142494,,,,,,,,,,,,,,,,,,,,,2079116.0,213.0708443256,31778043.0,16.7933445305,,,66707414.0,35.4713233295,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1511950.0,153.6560732674,90885253.0,87.9173657162,2709117.0,202.8844896075,,,2595890.0,235.9853485543,,,,,0.0,-100.0,90998480.0,82.2714316126,5013669.0,31.830418183,,,0.0,,,,85984811.0,86.4307252387,,,,,,,85958589.0,86.3738711685,26222.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900947.SH,900947,振华B股,10004076,通用,1997-06-30 00:00:00,中报,1997中报,58001002,1997-08-29 00:00:00,1997-08-29 00:00:00,CNY,452616628.0,,452616628.0,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61582878.0,,61582878.0,,4617582.0,,,,0.0,,,,56965296.0,,,,,,,,56950184.0,,15112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900947.SH,900947,振华B股,10004076,通用,1997-12-31 00:00:00,年报,1997年报,58001002,1998-04-24 00:00:00,1998-04-24 00:00:00,CNY,848094000.0,25.7390757126,848094000.0,25.7390757126,,,,,,,,,,,740866000.0,26.6191035072,654154000.0,35.0025552712,,,,,,,,,,,,,,,,,,,,,2892000.0,39.0975780091,36401000.0,14.5476453663,,,47419000.0,-28.9149478947,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,15765000.0,942.6932107543,122993000.0,35.3277852459,743000.0,-72.5740896388,,,811000.0,-68.7583063997,,,,,4676000.0,,127601000.0,40.2232213109,10161000.0,102.6659518209,,,0.0,,,,117440000.0,36.5822621858,,,,,,,117212000.0,36.3586831329,228000.0,769.4988940584,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900947.SH,900947,振华B股,10004076,通用,1998-06-30 00:00:00,中报,1998中报,58001002,1998-08-22 00:00:00,1998-08-22 00:00:00,CNY,526209316.16,16.2593867762,526209316.16,16.2593867762,,,,,,,,,,,470082684.8,,424687602.07,,,,,,,,,,,,,,,,,,,,149087.01,,4722077.14,,19626497.41,,,,20897421.17,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1181719.62,,57308350.98,,15154.04,,,,385943.47,,,,,,18096939.62,-70.6136832059,75034501.17,21.8431219957,7492209.88,62.253964954,,,0.0,,,,67542291.29,18.567436725,,,,,,,67500702.38,18.5258723308,41588.91,175.2045394389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900947.SH,900947,振华B股,10004076,通用,1998-12-31 00:00:00,年报,1998年报,58001002,2000-04-26 00:00:00,2000-04-26 00:00:00,CNY,1082676140.0,27.6599221313,1082676140.0,27.6599221313,,,,,,,,,,,1022012335.0,37.948338161,940367278.0,43.7531954249,,,,,,,,,,,,,,,,,,,554454.0,,3668486.0,26.8494467497,49293116.0,35.4169281064,,,28129001.0,-40.6798941353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9267897.0,-41.2121979068,69931702.0,-43.1417218866,1448066.0,94.8944818304,,,2537372.0,212.8695437731,,,,,28149852.0,502.0071000855,96992248.0,-23.9878621641,10128493.0,-0.3199192993,,,0.0,,,,86863755.0,-26.0356309605,,,,,,,86890716.0,-25.8687540525,-26961.0,-111.825,,,,,,,0.26,-35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900947.SH,900947,振华B股,10004076,通用,1999-06-30 00:00:00,中报,1999中报,58001002,2000-08-19 00:00:00,2000-08-19 00:00:00,CNY,581637756.0,10.5335344962,581637756.0,10.5335344962,,,,,,,,,,,534700104.0,13.7459688028,500862044.0,17.936582457,,,,,,,,,,,,,,,,,,,676356.0,353.6652790877,1114099.0,-76.4065904269,21458272.0,9.3331711295,,,10589333.0,-49.3270824478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3727693.0,215.4464846746,50665345.0,-11.5916892851,133933.0,783.8105218146,,,513698.0,33.1018762929,,,,,0.0,-100.0,50285580.0,-32.9833886867,5035891.0,-32.7849715817,,,0.0,,,,45249689.0,-33.0053983426,,,,,,,45241542.0,-32.9761907583,8147.0,-80.4106431258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900947.SH,900947,振华B股,10004076,通用,1999-12-31 00:00:00,年报,1999年报,58001002,2001-04-18 00:00:00,2001-04-18 00:00:00,CNY,1365071618.0,26.0830979428,1365071618.0,26.0830979428,,,,,,,,,,,1268349049.0,24.1031057614,1195688159.0,27.1511873045,,,,,,,,,,,,,,,,,,,951303.0,71.5747383913,3111374.0,-15.1864284067,53444976.0,8.4227988346,,,15153237.0,-46.1294874994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2702194.0,-70.8435041952,99424763.0,42.1740929457,364129.0,-74.8541157654,,,761327.0,-69.9954519873,,,,,3043079.0,-89.1897158109,102070644.0,5.2358782322,11840539.0,16.9032648786,,,0.0,,,,90230105.0,3.8754368839,,,,,,,90118140.0,3.7143484927,111965.0,515.285041356,,,,,,,0.24,-7.6923076923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,标准无保留意见
900947.SH,900947,振华B股,10004076,通用,2000-06-30 00:00:00,中报,2000中报,58001002,2001-07-28 00:00:00,2001-07-28 00:00:00,CNY,800141086.0,37.5669096007,800141086.0,37.5669096007,,,,,,,,,,,742856446.0,38.929549563,705090051.0,40.7753011925,,,,,,,,,,,,,,,,,,,53407.0,-92.1037146118,3789170.0,240.1107082943,35444132.0,65.1770095933,,,-1520314.0,-114.3570326856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4845935.0,29.9982321506,62130575.0,22.6293337191,47823.0,-64.2933407002,,,2443327.0,375.6349061122,,,,,0.0,,59735071.0,18.7916516027,6864241.0,36.3063855036,,,0.0,,,,52870830.0,16.8424163092,,,,,,,52850441.0,16.818390054,20389.0,150.2639008224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900947.SH,900947,振华B股,10004076,通用,2000-12-31 00:00:00,年报,2000年报,58001002,2002-02-09 00:00:00,2002-02-09 00:00:00,CNY,2156858595.0,58.0033286576,2156858595.0,58.0033286576,,,,,,,,,,,2035195236.0,60.4601854359,1952284852.0,63.2770917153,,,,,,,,,,,,,,,,,,,333462.0,-64.9468150526,8363462.0,168.8028504449,64184157.0,20.0939018103,,,10029303.0,-33.8141216956,,,,,,,,,,,,,4275000.0,,,,,,,,,,,,,,,,,,16914748.0,525.963494849,142853107.0,43.6796052509,235845.0,-35.230371654,,,3314145.0,335.3116335031,,,,,0.0,-100.0,139774807.0,36.9392819742,15525992.0,31.125719868,,,0.0,,,,124248815.0,37.7021726839,,,,,,,124245805.0,37.8699171998,3010.0,-97.3116598937,124245805.0,,,,,,0.34,41.6666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,标准无保留意见
