SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,TOTAL_OPERATE_INCOME,TOTAL_OPERATE_INCOME_YOY,OPERATE_INCOME,OPERATE_INCOME_YOY,INTEREST_INCOME,INTEREST_INCOME_YOY,EARNED_PREMIUM,EARNED_PREMIUM_YOY,FEE_COMMISSION_INCOME,FEE_COMMISSION_INCOME_YOY,OTHER_BUSINESS_INCOME,OTHER_BUSINESS_INCOME_YOY,TOI_OTHER,TOI_OTHER_YOY,TOTAL_OPERATE_COST,TOTAL_OPERATE_COST_YOY,OPERATE_COST,OPERATE_COST_YOY,INTEREST_EXPENSE,INTEREST_EXPENSE_YOY,FEE_COMMISSION_EXPENSE,FEE_COMMISSION_EXPENSE_YOY,RESEARCH_EXPENSE,RESEARCH_EXPENSE_YOY,SURRENDER_VALUE,SURRENDER_VALUE_YOY,NET_COMPENSATE_EXPENSE,NET_COMPENSATE_EXPENSE_YOY,NET_CONTRACT_RESERVE,NET_CONTRACT_RESERVE_YOY,POLICY_BONUS_EXPENSE,POLICY_BONUS_EXPENSE_YOY,REINSURE_EXPENSE,REINSURE_EXPENSE_YOY,OTHER_BUSINESS_COST,OTHER_BUSINESS_COST_YOY,OPERATE_TAX_ADD,OPERATE_TAX_ADD_YOY,SALE_EXPENSE,SALE_EXPENSE_YOY,MANAGE_EXPENSE,MANAGE_EXPENSE_YOY,ME_RESEARCH_EXPENSE,ME_RESEARCH_EXPENSE_YOY,FINANCE_EXPENSE,FINANCE_EXPENSE_YOY,FE_INTEREST_EXPENSE,FE_INTEREST_EXPENSE_YOY,FE_INTEREST_INCOME,FE_INTEREST_INCOME_YOY,ASSET_IMPAIRMENT_LOSS,ASSET_IMPAIRMENT_LOSS_YOY,CREDIT_IMPAIRMENT_LOSS,CREDIT_IMPAIRMENT_LOSS_YOY,TOC_OTHER,TOC_OTHER_YOY,FAIRVALUE_CHANGE_INCOME,FAIRVALUE_CHANGE_INCOME_YOY,INVEST_INCOME,INVEST_INCOME_YOY,INVEST_JOINT_INCOME,INVEST_JOINT_INCOME_YOY,NET_EXPOSURE_INCOME,NET_EXPOSURE_INCOME_YOY,EXCHANGE_INCOME,EXCHANGE_INCOME_YOY,ASSET_DISPOSAL_INCOME,ASSET_DISPOSAL_INCOME_YOY,ASSET_IMPAIRMENT_INCOME,ASSET_IMPAIRMENT_INCOME_YOY,CREDIT_IMPAIRMENT_INCOME,CREDIT_IMPAIRMENT_INCOME_YOY,OTHER_INCOME,OTHER_INCOME_YOY,OPERATE_PROFIT_OTHER,OPERATE_PROFIT_OTHER_YOY,OPERATE_PROFIT_BALANCE,OPERATE_PROFIT_BALANCE_YOY,OPERATE_PROFIT,OPERATE_PROFIT_YOY,NONBUSINESS_INCOME,NONBUSINESS_INCOME_YOY,NONCURRENT_DISPOSAL_INCOME,NONCURRENT_DISPOSAL_INCOME_YOY,NONBUSINESS_EXPENSE,NONBUSINESS_EXPENSE_YOY,NONCURRENT_DISPOSAL_LOSS,NONCURRENT_DISPOSAL_LOSS_YOY,EFFECT_TP_OTHER,EFFECT_TP_OTHER_YOY,TOTAL_PROFIT_BALANCE,TOTAL_PROFIT_BALANCE_YOY,TOTAL_PROFIT,TOTAL_PROFIT_YOY,INCOME_TAX,INCOME_TAX_YOY,EFFECT_NETPROFIT_OTHER,EFFECT_NETPROFIT_OTHER_YOY,EFFECT_NETPROFIT_BALANCE,EFFECT_NETPROFIT_BALANCE_YOY,UNCONFIRM_INVEST_LOSS,UNCONFIRM_INVEST_LOSS_YOY,NETPROFIT,NETPROFIT_YOY,PRECOMBINE_PROFIT,PRECOMBINE_PROFIT_YOY,CONTINUED_NETPROFIT,CONTINUED_NETPROFIT_YOY,DISCONTINUED_NETPROFIT,DISCONTINUED_NETPROFIT_YOY,PARENT_NETPROFIT,PARENT_NETPROFIT_YOY,MINORITY_INTEREST,MINORITY_INTEREST_YOY,DEDUCT_PARENT_NETPROFIT,DEDUCT_PARENT_NETPROFIT_YOY,NETPROFIT_OTHER,NETPROFIT_OTHER_YOY,NETPROFIT_BALANCE,NETPROFIT_BALANCE_YOY,BASIC_EPS,BASIC_EPS_YOY,DILUTED_EPS,DILUTED_EPS_YOY,OTHER_COMPRE_INCOME,OTHER_COMPRE_INCOME_YOY,PARENT_OCI,PARENT_OCI_YOY,MINORITY_OCI,MINORITY_OCI_YOY,PARENT_OCI_OTHER,PARENT_OCI_OTHER_YOY,PARENT_OCI_BALANCE,PARENT_OCI_BALANCE_YOY,UNABLE_OCI,UNABLE_OCI_YOY,CREDITRISK_FAIRVALUE_CHANGE,CREDITRISK_FAIRVALUE_CHANGE_YOY,OTHERRIGHT_FAIRVALUE_CHANGE,OTHERRIGHT_FAIRVALUE_CHANGE_YOY,SETUP_PROFIT_CHANGE,SETUP_PROFIT_CHANGE_YOY,RIGHTLAW_UNABLE_OCI,RIGHTLAW_UNABLE_OCI_YOY,UNABLE_OCI_OTHER,UNABLE_OCI_OTHER_YOY,UNABLE_OCI_BALANCE,UNABLE_OCI_BALANCE_YOY,ABLE_OCI,ABLE_OCI_YOY,RIGHTLAW_ABLE_OCI,RIGHTLAW_ABLE_OCI_YOY,AFA_FAIRVALUE_CHANGE,AFA_FAIRVALUE_CHANGE_YOY,HMI_AFA,HMI_AFA_YOY,CASHFLOW_HEDGE_VALID,CASHFLOW_HEDGE_VALID_YOY,CREDITOR_FAIRVALUE_CHANGE,CREDITOR_FAIRVALUE_CHANGE_YOY,CREDITOR_IMPAIRMENT_RESERVE,CREDITOR_IMPAIRMENT_RESERVE_YOY,FINANCE_OCI_AMT,FINANCE_OCI_AMT_YOY,CONVERT_DIFF,CONVERT_DIFF_YOY,ABLE_OCI_OTHER,ABLE_OCI_OTHER_YOY,ABLE_OCI_BALANCE,ABLE_OCI_BALANCE_YOY,OCI_OTHER,OCI_OTHER_YOY,OCI_BALANCE,OCI_BALANCE_YOY,TOTAL_COMPRE_INCOME,TOTAL_COMPRE_INCOME_YOY,PARENT_TCI,PARENT_TCI_YOY,MINORITY_TCI,MINORITY_TCI_YOY,PRECOMBINE_TCI,PRECOMBINE_TCI_YOY,EFFECT_TCI_BALANCE,EFFECT_TCI_BALANCE_YOY,TCI_OTHER,TCI_OTHER_YOY,TCI_BALANCE,TCI_BALANCE_YOY,ACF_END_INCOME,ACF_END_INCOME_YOY,OPINION_TYPE
000869.SZ,869,张裕A,10005748,通用,1995-12-31 00:00:00,年报,1995年报,58001001,1997-08-30 00:00:00,1997-08-30 00:00:00,CNY,299858000.0,22.6047028903,299858000.0,22.6047028903,,,,,,,,,,,265646000.0,38.2399317246,153725000.0,43.2158229145,,,,,,,,,0.0,,0.0,,,,,,,,15920000.0,-23.4247234247,56424000.0,103.417694138,25519000.0,22.6698072393,,,14058000.0,-9.2681037821,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,-2000.0,,34210000.0,-34.7261972906,2544000.0,219.1969887077,,,327000.0,-52.2627737226,,,,,0.0,,36427000,-30.6443014356,8587000,-2.5312145289,,,0.0,,,,27840000,-36.3103953148,,,,,,,27840000,-36.3103953148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000869.SZ,869,张裕A,10005748,通用,1996-12-31 00:00:00,年报,1996年报,58001001,1997-08-30 00:00:00,1997-08-30 00:00:00,CNY,315301000.0,5.1501043827,315301000.0,5.1501043827,,,,,,,,,,,258966000.0,-2.5146247261,150305000.0,-2.2247519922,,,,,,,,,,,,,,,,,,,15429000.0,-3.0841708543,52666000.0,-6.6602864029,26589000.0,4.1929542694,,,13977000.0,-0.576184379,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,100.0,56335000.0,64.6740719088,984000.0,-61.320754717,,,1943000.0,494.1896024465,,,,,-1000.0,,55375000,52.0163614901,14931000,73.8791195994,,,0.0,,,,40444000,45.2729885057,,,,,,,40444000,45.2729885057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000869.SZ,869,张裕A,10005748,通用,1997-06-30 00:00:00,中报,1997中报,58001001,1997-09-19 00:00:00,1997-09-19 00:00:00,CNY,195097000.0,,195097000.0,,,,,,,,,,,,87671000.0,,87671000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-59900000.0,,47526000.0,,,,,,328000.0,,,,,,0.0,,47198000,,15575000,,,,0.0,,,,31623000,,,,,,,,31623000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000869.SZ,869,张裕A,10005748,通用,1997-12-31 00:00:00,年报,1997年报,58001001,1998-03-25 00:00:00,1998-03-25 00:00:00,CNY,392062669.0,24.3455203123,392062669.0,24.3455203123,,,,,,,,,,,312452790.0,20.6539816038,177785775.0,18.2833405409,,,,,,,,,,,,,,,,,,,16251635.0,5.3317454145,44774559.0,-14.9839384043,62303486.0,134.3205310467,,,11337335.0,-18.885776633,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,79609879.0,41.3151309133,2024757.0,105.7679878049,,,672338.0,-65.3969119918,,,,,0.0,100.0,80962298,46.207310158,19787561,32.5266961356,,,0.0,,,,61174737,51.2578800316,,,,,,,61174737,51.2578800316,,,,,,,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000869.SZ,869,张裕A,10005748,通用,1998-06-30 00:00:00,中报,1998中报,58001001,1998-08-17 00:00:00,1998-08-17 00:00:00,CNY,302048577.0,54.8196932808,302048577.0,54.8196932808,,,,,,,,,,,241014333.0,174.9077038017,122702966.0,39.9584423584,,,,,,,,,,,,,,,,,,,24898467.0,,64068591.0,,28927689.0,,,,416620.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,100.0,61034244.0,28.4228506502,843860.0,,,,632000.0,92.6829268293,,,,,0.0,,61246104,29.764193398,9186916,-41.0149855538,,,0.0,,,,52059188,64.6244442336,,,,,,,52059188,64.6244442336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000869.SZ,869,张裕A,10005748,通用,1998-12-31 00:00:00,年报,1998年报,58001001,2000-04-18 00:00:00,2000-04-18 00:00:00,CNY,568494018.0,45.0008029201,568494018.0,45.0008029201,,,,,,,,,,,479240518.0,53.3801372041,262190581.0,47.4755677163,,,,,,,,,,,,,,,,,,,38285665.0,135.5803892962,121446326.0,171.2395804948,60350136.0,-3.1352178271,,,-3032190.0,-126.7451742407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,89253500.0,12.1135983638,3857967.0,90.5397536593,,,2964905.0,340.9842965889,,,,,0.0,,90146562,11.3438776157,10657908,-46.138344185,,,0.0,,,,79488654,29.9370588222,,,,,,,79488654,29.9370588222,,,,,,,,,0.35,-2.7777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000869.SZ,869,张裕A,10005748,通用,1999-06-30 00:00:00,中报,1999中报,58001001,2000-08-08 00:00:00,2000-08-08 00:00:00,CNY,385051384.0,27.4799530011,385051384.0,27.4799530011,,,,,,,,,,,315123540.0,30.7488795697,168318741.0,37.1757720999,,,,,,,,,,,,,,,,,,,24409287.0,-1.9646992724,91887902.0,43.4211375118,30339035.0,4.8788757374,,,168575.0,-59.5374681964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,69927844.0,14.5714920299,1101746.0,30.5602825113,,,1978202.0,213.0066455696,,,,,0.0,,69051388,12.7441314471,11559710,25.827970997,,,0.0,,,,57491678,10.4352184671,,,,,,,57491678,10.4352184671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000869.SZ,869,张裕A,10005748,通用,1999-12-31 00:00:00,年报,1999年报,58001001,2001-03-30 00:00:00,2001-03-30 00:00:00,CNY,629926974.0,10.8062625208,629926974.0,10.8062625208,,,,,,,,,,,522336081.0,8.9924706658,261262893.0,-0.3538220162,,,,,,,,,,,,,,,,,,,46752373.0,22.1145642893,169693735.0,39.7273516533,47322954.0,-21.5860027225,,,-2695874.0,11.0915213097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,107590893.0,20.5452929017,3612799.0,-6.3548495879,,,1571734.0,-46.9887230788,,,,,0.0,,109631958,21.6152403017,25582729,140.0351832649,,,0.0,,,,84049229,5.7373911502,,,,,,,84049229,5.7373911502,,,,,,,,,0.405,15.7142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,标准无保留意见
000869.SZ,869,张裕A,10005748,通用,2000-06-30 00:00:00,中报,2000中报,58001001,2001-08-13 00:00:00,2001-08-13 00:00:00,CNY,480102046.0,24.6851890292,480102046.0,24.6851890292,,,,,,,,,,,374297638.0,18.7780633589,206013134.0,22.3946500408,,,,,,,,,,,,,,,,,,,22723501.0,-6.9063303652,110454970.0,20.2062160479,35250785.0,16.1895393179,,,-144752.0,-185.8680112709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-179629.0,,105624779.0,51.0482419564,222640.0,-79.7920754875,,,117472.0,-94.061678231,,,,,0.0,,105729947,53.1177722307,38152974,230.0513075155,,,0.0,,,,67576973,17.5421823659,,,,,,,67576973,17.5421823659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000869.SZ,869,张裕A,10005748,通用,2000-09-30 00:00:00,三季报,2000三季报,58001001,2001-10-30 00:00:00,2001-10-30 00:00:00,CNY,601010952.0,,601010952.0,,,,,,,,,,,,491951168.0,,265645416.0,,,,,,,,,,0.0,,0.0,,,,,,,,34261801.0,,130369492.0,,62826651.0,,,,-1152192.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,109059784.0,,277730.0,,,,294562.0,,,,,,0.0,,109042952,,39255463,,,,0.0,,,,69787489,,,,,,,,69787489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
